Judul;Nomor Klasifikasi;Nama Klasifikasi;Kode Eksemplar
PERKEMBANGAN PESERTA DIDIK;371;Ilmu-ilmu sosial;<37451><44099><44154><44176><44326><44369><44393><45411><45434><45337><45645>
English for economic education;425;Bahasa;<70907><70908>
Monograph digitalization on english language education : literacy and competence;370;Ilmu-ilmu sosial;<70905><70906>
Monograf digitalisasi dalam pendidikan bahasa inggris : literasi dan kompetensi;370;Ilmu-ilmu sosial;<70903><70904>
Ilmu administrasi dan analisis kebijakan publik konseptual dan praktik;352;Ilmu-ilmu sosial;<70879><70880>
Negara pancasila dalam persepsi mayoritas islam;297;Agama;<70901><70902>
Mmebangun masyarakat peduli lingkungan;363;Ilmu-ilmu sosial;<70899><70900>
Ekonomi kelembagaan (dinamika ekonomi berbasis sumber daya lokal );330;Ilmu-ilmu sosial;<70877><70878>
Kebijakan hukum pidana dalam pembrantasan tradisi omerta tindak pidana korupsi di Indonesia;345;Ilmu-ilmu sosial;<70897><70898>
Pembaharuan hukum terkait kebebasan berpendapat dalam bermedia sosial di Indonesia;340;Ilmu-ilmu sosial;<70875><70876>
Mudah belajar desain printed board cirtcuit (PCB);621;Ilmu-ilmu terapan;<70873><70874>
Evaluasi kebijakan pemerintah daerah dalam mewujudkan ketahanan pangan di indonesia;338;Ilmu-ilmu sosial;<70869><70870>
Monograf : kinerja pengguna cloud accounting;657;Ilmu-ilmu terapan;<70871><70872>
Politik luar negeri indonesia pro rakyat;327;Ilmu-ilmu sosial;<70895><70896>
Modul parenting peer education (PEE);649;Ilmu-ilmu terapan;<70849><70850>
Struktur aljabar;512;Ilmu-ilmu murni;<70851><70852>
Sel kultur;570;Ilmu-ilmu murni;<70893><70894>
Panduan praktis penulisan resep bagi dokter;615;Ilmu-ilmu terapan;<70853><70854>
Hukum pidana korporasi dan sistematisasi penegakannya secara integral;345;Ilmu-ilmu sosial;<70855><70856>
Konstruksi perencanaan partisipatif;300;Ilmu-ilmu sosial;<70857><70858>
Teori ilmu kealaman dasr kajian untuk mahasiswa pendidikan guru dan akademis;500;Ilmu-ilmu murni;<70859><70860>
Kimia dasar mahasiswa milenial;540;Ilmu-ilmu murni;<70891><70892>
Pandemic effect (hikmah & kisah para pejuang pendidikan di masa pandemi);370;Ilmu-ilmu sosial;<70861><70862>
Monograf rencana pembangunan industri daerah;339;Ilmu-ilmu sosial;<70863><70864>
Buku referensi bakteri filosfer;579;Ilmu-ilmu murni;<70865><70866>
Pidana dan pemidanaan dalam tindak pidana perdagangan orang;345;Ilmu-ilmu sosial;<70867><70868>
Mengenal covid-19 dalam kehamilan, persalinan dan masa menyusui;616;Ilmu-ilmu terapan;<70807><70808>
Buku referensi mengukur usability perangkat lunak;5;Karya umum;<70805><70806>
Pembangunan daerah : tinjauan model konseptual pembangunan berkelanjutan;300;Ilmu-ilmu sosial;<70889><70890>
Hukum tata negara sistem presidensial RI;342;Ilmu-ilmu sosial;<70803><70804>
Rahasia sukses bisnis modern;658;Ilmu-ilmu terapan;<70801><70802>
Reformasi pendidikan berbasis budaya lokal;370;Ilmu-ilmu sosial;<70799><70800>
Politik luar negeri kontemporer indonesia;327;Ilmu-ilmu sosial;<70797><70798>
Pengembangan dan problematika pendidikan di wiliayah kepulauan;370;Ilmu-ilmu sosial;<70795><70796>
Corporate social responsibility dalam kelembagaan;654;Ilmu-ilmu terapan;<70794><70886>
Pembelajaran berbasis neurosains blueprint pelaksanaan model model pembelajaran hypnohappy;371;Ilmu-ilmu sosial;<70887><70888>
Arus pengembara;813;Kesusastraan;<70792><70793>
Teori politik untuk mahasiswa ilmu pemerintahan;320;Ilmu-ilmu sosial;<70791>
Pebisnis pemula melakukan bisnis internasional;650;Ilmu-ilmu terapan;<70884><70885>
Monograf penggunaan gadget sebagai dampak gangguan pemusatan perhatian;1;Karya umum;<70881><70882><70883>
Pakan ikan ramah lingkungan (PIRL);636;Ilmu-ilmu terapan;<70747><70748>
Dimensi hak kesejahteraan sosial dalam peraturan daerah hakikat, konsep dan teknik;362;Ilmu-ilmu sosial;<70745><70746>
Buku kajian hukum tata negara;342;Ilmu-ilmu sosial;<70743><70744>
Dasar-dasar studi kelayakan bisnis, teori praktik dan analisis;1;Karya umum;<70741><70742>
Terminologi ilmu kelautan dan perikanan;623;Ilmu-ilmu terapan;<70739><70740>
Kepulauan Riau dalam pantun;398;Ilmu-ilmu sosial;<70737><70738>
Servant leadership POLRI dan budaya yang memengaruhinya;363;Ilmu-ilmu sosial;<70735><70736>
Dialectical semiotics : bridging language, culture, and nature in analyzing tradition discourse;401;Bahasa;<70731><70732><70733>
Manajemen pengembangan wilayah dan lingkungan;620;Ilmu-ilmu terapan;<70729><70730>
Aparatur sipil negeri dan pemilu perspektif demokrasi di indonesia;325;Ilmu-ilmu sosial;<70734>
Bunga rampai fisiologi kedokteran;616;Ilmu-ilmu terapan;<70786><70787>
Abalon : teknologi pembesaran;570;Ilmu-ilmu murni;<70784><70785>
Asas kimia, teori dan aplikasi ed. pertama;541;Ilmu-ilmu murni;<70783>
Etika bisnis perdagangan menurut al-quran;297;Agama;<70782>
Dinamika permasalahan urban di Indonesia : catatan dalam konteks lokal;301;Ilmu-ilmu sosial;<70780>
Biologi laut : pencemaran logam berat dan pengaruhnya terhadap anatomi dan fisiologi lamun;578;Ilmu-ilmu murni;<70779>
book chapter Perang melawan sampah plastik;363;Ilmu-ilmu sosial;<70778>
Sistem toll laut Indonesia menuju era maritim 5.0;338;Ilmu-ilmu sosial;<70777>
Pengantar bakteriologi pada penyakit infeksi untuk ATLM;579;Ilmu-ilmu murni;<70775><70776>
Menuju perguruan tinggi indonesia berkualitas : sumbangsih pemikiran detaser;378;Ilmu-ilmu sosial;<70773><70774>
