Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
Atheis;447,4;1;Jarang dipinjam
Mencari tepi langit;m01110001;1;Jarang dipinjam
Harga sebuah percaya;49782;2;Jarang dipinjam
Gadis kretek;49888;4;Sering dipinjam
Model-model pembelajaran inovatif;32535;6;Sering dipinjam
Pengelolaan laboratorium ipa berpedoman pada permendiknas;49068;1;Jarang dipinjam
metodologi penelitian sastra;30019;6;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;31179;8;Sering dipinjam
Pendidikan karakter konsep dan implementasi;50713;6;Sering dipinjam
Pengantar kajian sastra;1650,1;5;Sering dipinjam
Sastra kita, kritik, dan lokalitas;20232;4;Sering dipinjam
Teori kesusastraan;17290;4;Sering dipinjam
Media pembelajaran;33570;2;Jarang dipinjam
MEDIA PEMBELAJARAN;19987;3;Sering dipinjam
Media pembelajaran digital;49851;6;Sering dipinjam
Media konvensional dan media online;48780;5;Sering dipinjam
Belajar & pembelajaran pada bidang teknologi informasi;49059;3;Sering dipinjam
Model-model pembelajaran inovatif;32535;6;Sering dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;1175,3,1;4;Sering dipinjam
Semantik leksikal;23190;4;Sering dipinjam
Dasar-dasar ilmu semantik;21039;1;Jarang dipinjam
micro teaching disertai dengan pedoman pengalaman lapangan;SM,035,;1;Jarang dipinjam
Micro Teaching;44624;1;Jarang dipinjam
Teori kesusastraan;17290;4;Sering dipinjam
Sastra kita, kritik, dan lokalitas;20232;4;Sering dipinjam
Pengantar kajian sastra;1650,1;5;Sering dipinjam
Pendidikan karakter konsep dan implementasi;50713;6;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;31179;8;Sering dipinjam
metodologi penelitian sastra;30019;6;Sering dipinjam
METODE PEMBELAJARAN DRAMA;20377;1;Jarang dipinjam
DRAMA KARYA DALAM DUA DIMENSI;19700;1;Jarang dipinjam
Pengantar kajian sastra;1650,2;2;Jarang dipinjam
Semantik leksikal;24070;1;Jarang dipinjam
Jenis Kalimat Dalam Bahasa Indonesia;32428;1;Jarang dipinjam
Argumentasi dan Narasi;18451;1;Jarang dipinjam
JENIS-JENIS TEKS;45349;3;Sering dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;1175,3,1;4;Sering dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;32777;2;Jarang dipinjam
SEMANTIK 2;19554;3;Sering dipinjam
Media pembelajaran;33570;2;Jarang dipinjam
MEDIA PEMBELAJARAN;19987;3;Sering dipinjam
Media pembelajaran digital;49851;6;Sering dipinjam
Media konvensional dan media online;48780;5;Sering dipinjam
Belajar & pembelajaran pada bidang teknologi informasi;49059;3;Sering dipinjam
Metode Penelitian Kuantitatif;46667;7;Sering dipinjam
68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;37873;2;Jarang dipinjam
ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;45290;5;Sering dipinjam
Analisis Wacana: Teori, Metode, & Penerapannya;45437;2;Jarang dipinjam
