ID Anggota;Tipe Keanggotaan;Kode Eksemplar;Judul;Kode Klasifikasi;Nama Klasifikasi;Tanggal Pinjam;Tanggal Kembali;Status peminjaman;Bulan Peminjaman
180254242006;FIKP;447,4;Atheis;811;Kesusastraan;2024-01-11;2024-01-18;Telah Kembali;Januari
180254242006;FIKP;m01110001;Mencari tepi langit;813;Kesusastraan;2024-01-11;2024-01-18;Telah Kembali;Januari
2303020032;FKIP;49782;Harga sebuah percaya;813;Kesusastraan;2024-01-31;2024-02-07;Telah Kembali;Januari
2303020032;FKIP;49888;Gadis kretek;813;Kesusastraan;2024-01-31;2024-02-07;Telah Kembali;Januari
2003010070;FKIP;32535;Model-model pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-30;2024-02-06;Telah Kembali;Januari
180384205007;FKIP;49068;Pengelolaan laboratorium ipa berpedoman pada permendiknas;500;Ilmu-ilmu murni;2024-01-29;2024-02-05;Telah Kembali;Januari
2003010058;FKIP;30019;metodologi penelitian sastra;1;Karya umum;2024-01-29;2024-02-05;Telah Kembali;Januari
2003010058;FKIP;31179;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-29;2024-02-05;Telah Kembali;Januari
2003010058;FKIP;50713;Pendidikan karakter konsep dan implementasi;370;Ilmu-ilmu sosial;2024-01-29;2024-02-05;Telah Kembali;Januari
2003010067;FKIP;1650,1;Pengantar kajian sastra;800;Kesusastraan;2024-01-29;2024-02-05;Telah Kembali;Januari
2003010067;FKIP;20232;Sastra kita, kritik, dan lokalitas;810;Kesusastraan;2024-01-29;2024-02-05;Telah Kembali;Januari
2003010067;FKIP;17290;Teori kesusastraan;810;Kesusastraan;2024-01-29;2024-02-05;Telah Kembali;Januari
2003010035;FKIP;33570;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Telah Kembali;Januari
2003010035;FKIP;19987;MEDIA PEMBELAJARAN;371;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Telah Kembali;Januari
2003010035;FKIP;49851;Media pembelajaran digital;371;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Telah Kembali;Januari
2003010046;FKIP;48780;Media konvensional dan media online;302;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Telah Kembali;Januari
2003010046;FKIP;49059;Belajar & pembelajaran pada bidang teknologi informasi;372;Ilmu-ilmu sosial;2024-01-25;2024-02-01;Telah Kembali;Januari
2003010037;FKIP;32535;Model-model pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-24;2024-01-31;Telah Kembali;Januari
